,,THE,CRISPY,CRUST,PIZZERIA,,
,,,,,,,
,,,Welcome,Foodie,,,
,,,,,,,
Name:,Nitin,,,,,contact,9958603062
,,,,,,,
Date:,20-03-2022,,,,,Place:,Bhopal
,,,,,,,
Time:,19:09:05,,,,,,
,,,,,,,
pizza_name,pizza_price,pizza_quantity,pizza_size,toppings_price,toppings,total_price,
,,,,,,,
Peppy Paneer Pizza,90,3,M,40,['Extra Cheese'],310,
,,,,,,,
drink,drink_price,drink_quantity,drink_size,total_price,,,
,,,,,,,
Sprite,60,3,L,180,,,
,,,,,,,
drink,drink_price,drink_quantity,drink_size,total_price,,,
,,,,,,,
7-Up,60,2,L,120,,,
,,,,,,,
GST *incl.,12.00%,,,,total_amt:,683.2,
,,,,,,,
,,,Thank, you,,,
,,,,,,,
,,,Visit,Again,,,
